model,MAE,MAPE,RMSE,split,model_name
trucks_naive,0.10071428571428571,0.042053571428571426,0.31959796173138705,val,trucks_naive
trucks_seasonal7,0.05714285714285714,0.023809523809523805,0.23904572186687872,val,trucks_seasonal7
ridge_trucks_val,0.10222127061964524,0.04261163211456716,0.22036254426499863,val,ridge
ridge_trucks_test,0.12498718952269504,0.05006091154481641,0.25129099000332433,test,ridge
elastic_trucks_val,0.10154386298555779,0.04236423048257567,0.21836582935963691,val,elastic
elastic_trucks_test,0.13199484536321013,0.053372280329185215,0.25082023104632595,test,elastic
hgb_trucks_val,0.09484130326886271,0.040305997728851295,0.21297320911354906,val,hgb
hgb_trucks_test,0.1277984950635457,0.052089941721645494,0.2448136685104892,test,hgb
rf_trucks_val,0.09425626414440272,0.04003776470849196,0.21322744953313968,val,rf
rf_trucks_test,0.1182120719520423,0.04793585316643314,0.243385301428411,test,rf
et_trucks_val,0.09937302508707437,0.041493392571014386,0.21497295603886388,val,et
et_trucks_test,0.12664053000741074,0.05017326592900559,0.2523924065396545,test,et
cat_trucks_val,0.09457437508463228,0.03953719652875908,0.21148702252751236,val,cat
cat_trucks_test,0.1200216557567459,0.04848613607695457,0.24395982924714002,test,cat
lgbm_trucks_val,0.0938073916923379,0.03921259337980281,0.2123279728120143,val,lgbm
lgbm_trucks_test,0.1219297076340599,0.04817775032999351,0.24854248694525194,test,lgbm
xgb_trucks_val,0.10240641806806837,0.0436392891336055,0.21482002223203478,val,xgb
xgb_trucks_test,0.12486944752931595,0.049123622049887974,0.25059808784296034,test,xgb
stacker_trucks_val,0.07340695919035885,0.030430918337198107,0.1880700020036572,,
stacker_trucks_test,0.1151532183121598,0.04506553492944962,0.2471431084488006,,
