model,MAE,MAPE,RMSE,split,model_name
trucks_naive,0.10071428571428571,0.042053571428571426,0.31959796173138705,val,trucks_naive
trucks_seasonal7,0.05714285714285714,0.023809523809523805,0.23904572186687872,val,trucks_seasonal7
ridge_trucks_val,0.10188774183086216,0.0424323720214389,0.22039899262795937,val,ridge
ridge_trucks_test,0.125043747855448,0.05004886542348293,0.25144698007303146,test,ridge
elastic_trucks_val,0.10232454904496005,0.04276273249757666,0.21838042652873838,val,elastic
elastic_trucks_test,0.1326776537427424,0.05371030060362351,0.2508496680074368,test,elastic
hgb_trucks_val,0.09263563924509279,0.03854336043735558,0.2125261091370623,val,hgb
hgb_trucks_test,0.11772237532196743,0.04574820763989649,0.24976106626856384,test,hgb
rf_trucks_val,0.09427659736952718,0.040088919225651685,0.212929335026767,val,rf
rf_trucks_test,0.11794301608331804,0.04774128400521313,0.24368306921522048,test,rf
et_trucks_val,0.10026708983430203,0.04188568192095215,0.21463717663870077,val,et
et_trucks_test,0.1294709479797978,0.05141005219578891,0.2531559115533544,test,et
cat_trucks_val,0.0941352814734838,0.03955319415738881,0.2105358286910677,val,cat
cat_trucks_test,0.12027131674077304,0.04822974355945847,0.24337482088491236,test,cat
lgbm_trucks_val,0.09329773173938767,0.039094237282217136,0.2117371775994096,val,lgbm
lgbm_trucks_test,0.12176583447796363,0.04797138288924732,0.24839020349010013,test,lgbm
xgb_trucks_val,0.09932007380894252,0.04201232698701676,0.21319141076895484,val,xgb
xgb_trucks_test,0.1252968672513962,0.049366913229227066,0.2520302228590028,test,xgb
stacker_trucks_val,0.07091405288672585,0.029286018894507063,0.18227253481008163,,
stacker_trucks_test,0.11690080286523359,0.045357465321145735,0.24831839314609783,,
