model,MAE,MAPE,RMSE,split,model_name
trucks_naive,0.10071428571428571,0.042053571428571426,0.31959796173138705,val,trucks_naive
trucks_seasonal7,0.05714285714285714,0.023809523809523805,0.23904572186687872,val,trucks_seasonal7
ridge_trucks_val,0.09944484187339493,0.04129666009596739,0.21972298513998584,val,ridge
ridge_trucks_test,0.12663499591317987,0.05089138362108518,0.25116042300836705,test,ridge
elastic_trucks_val,0.10204530111547955,0.04262537053969746,0.21838050544700988,val,elastic
elastic_trucks_test,0.13227984978430976,0.05352975111626137,0.25078517548000284,test,elastic
hgb_trucks_val,0.08868678759279418,0.03623602864466852,0.2118026852544659,val,hgb
hgb_trucks_test,0.11951877717323811,0.04629631514961449,0.2522536473671704,test,hgb
rf_trucks_val,0.09372947755217012,0.03971951119150797,0.2129157890386043,val,rf
rf_trucks_test,0.11899916078385572,0.04814401384507376,0.24421895680445527,test,rf
et_trucks_val,0.09666480243287816,0.04048164697587617,0.211783849442199,val,et
et_trucks_test,0.13017879910344102,0.051932626726662,0.2522274268460272,test,et
cat_trucks_val,0.09091239200759954,0.03770075819931542,0.2109488632443813,val,cat
cat_trucks_test,0.11794822914188532,0.047135594031757364,0.24565537569492527,test,cat
lgbm_trucks_val,0.09312064292406232,0.038444345481696694,0.21306937438891696,val,lgbm
lgbm_trucks_test,0.12306835066730057,0.04895631629808881,0.24931531844461088,test,lgbm
xgb_trucks_val,0.09952040893690926,0.04145985590560096,0.21531758906962356,val,xgb
xgb_trucks_test,0.1266997513771057,0.05016656720638275,0.25101309700787333,test,xgb
stacker_trucks_val,0.0768143552680759,0.03182745861103074,0.19469022800137828,,
stacker_trucks_test,0.11361085527459655,0.04425840291717174,0.2470839161467255,,
