model,MAE,MAPE,RMSE,split,model_name
trucks_naive,0.10071428571428571,0.042053571428571426,0.31959796173138705,val,trucks_naive
trucks_seasonal7,0.05714285714285714,0.023809523809523805,0.23904572186687872,val,trucks_seasonal7
ridge_trucks_val,0.10307352386006902,0.043000406219018225,0.22076942669845134,val,ridge
ridge_trucks_test,0.12837216286527647,0.05156379673786523,0.25249646912920787,test,ridge
elastic_trucks_val,0.10221516311882438,0.0427117351233368,0.21837983255149052,val,elastic
elastic_trucks_test,0.13245896827502132,0.05362441766543833,0.2507705737030339,test,elastic
hgb_trucks_val,0.08953458561024473,0.03733495350996084,0.2103825626953685,val,hgb
hgb_trucks_test,0.12251650804178109,0.04817124191162564,0.24901418256801808,test,hgb
rf_trucks_val,0.09327217384268192,0.03951504316445236,0.2126017594144287,val,rf
rf_trucks_test,0.11919744225065863,0.04830825594794642,0.24403987690884552,test,rf
et_trucks_val,0.09730701832410472,0.04077771681381104,0.2125601005817033,val,et
et_trucks_test,0.134927268064231,0.055084125702647355,0.25259117927962943,test,et
cat_trucks_val,0.09033174853426215,0.037947776368369615,0.20862009039081214,val,cat
cat_trucks_test,0.12368683082432108,0.04999447827806734,0.24481751546072314,test,cat
lgbm_trucks_val,0.08973930555828023,0.036677653149496954,0.2118451044325653,val,lgbm
lgbm_trucks_test,0.12083104091692329,0.047144604718279526,0.24956726702607546,test,lgbm
xgb_trucks_val,0.09658974813563483,0.04017812506783576,0.21459034030840768,val,xgb
xgb_trucks_test,0.12690183639526367,0.05010109209020932,0.25137807460700134,test,xgb
stacker_trucks_val,0.07036455659562327,0.02915327849410619,0.18114048272544866,,
stacker_trucks_test,0.11588980818197207,0.04518747338185508,0.24727792741400248,,
